"CID","Pincode","CityName/AreaName","State","Latitude","Longitude"
"1","110001","Connaught Place","New Delhi","28.628074645996094","77.217849731445310"
"2","110002","Darya Ganj","New Delhi","28.639127731323242","77.239440917968750"
"3","110003","Aliganj","New Delhi","28.598730087280273","77.222991943359380"
"4","110004","Rashtrapati Bhawan","New Delhi","28.615840911865234","77.203758239746100"
"5","110005","Lower Camp Anand Parbat","New Delhi","28.650241851806640","77.188995361328120"
"6","110006","Bara Tooti","New Delhi","28.655984878540040","77.231620788574220"
"7","110007","Birla Lines","New Delhi","28.687372207641600","77.208198547363280"
"8","110008","Patel Nagar","New Delhi","28.642971038818360","77.159759521484380"
"9","110010","Delhi Cantt","New Delhi","28.574516296386720","77.090377807617190"
"10","110011","Nirman Bhawan","New Delhi","28.604413986206055","77.210906982421880"
"11","110012","Inderpuri","New Delhi","28.637075424194336","77.154220581054690"
"12","110013","Hazrat Nizamuddin","New Delhi","28.587373733520508","77.254135131835940"
"13","110014","Jangpura","New Delhi","28.581378936767578","77.254402160644530"
"14","110015","Zakhira","New Delhi","28.655052185058594","77.148651123046880"
"15","110016","Hauz Khas","New Delhi","28.546670913696290","77.197868347167970"
"16","110017","Malviya Nagar","New Delhi","28.544641494750977","77.212684631347660"
"17","110018","Vishnu Garden","New Delhi","28.637948989868164","77.082977294921880"
"18","110019","Nehru Place","New Delhi","28.542871475219727","77.254997253417970"
"19","110020","Flatted Factories Complex","New Delhi","28.316535949707030","77.682693481445310"
"20","110021","Malcha Marg","New Delhi","28.579286575317383","77.171646118164060"
"21","110022","Postal Saving Bureau","New Delhi","28.568912506103516","77.172622680664060"
"22","110023","Kidwai Nagar","New Delhi","28.575521469116210","77.196701049804690"
"23","110024","Lajpat Nagar","New Delhi","28.568803787231445","77.243370056152340"
"24","110025","Jamia Nagar","New Delhi","28.539047241210938","77.288505554199220"
"25","110026","Punjabi Bagh","New Delhi","28.658231735229492","77.137878417968750"
"26","110027","J 6block Rajouri Garden","New Delhi","28.644760131835938","77.116653442382810"
"27","110028","Naraina Industrial Estate","New Delhi","28.629714965820312","77.142219543457030"
"28","110029","Himayunpur Extn","New Delhi","28.570293426513672","77.203575134277340"
"29","110030","T B Hospital","New Delhi","28.515274047851562","77.197990417480470"
"30","110031","Gandhi Nagar","New Delhi","28.653829574584960","77.272804260253900"
"31","110032","Shahdara","New Delhi","28.676473617553710","77.285675048828120"
"32","110033","Adarsh Nagar","New Delhi","28.721311569213867","77.172012329101560"
"33","110034","Pitampura","New Delhi","28.694561004638672","77.136123657226560"
"34","110035","Inderlok","New Delhi","28.680595397949220","77.163024902343750"
"35","110036","Alipur","New Delhi","28.817382812500000","77.168830871582030"
"36","110037","Gurgaon Road","New Delhi","28.544288635253906","77.127464294433600"
"37","110038","A F Rajokari","New Delhi","28.513103485107422","77.106857299804690"
